Char,Stroke,HD,Num-neighbor,C&B_raw,C&B_log
逝,10,29.0,306.0,781.0,2.89
逞,10,1.0,262.0,355.0,2.55
速,10,9.0,305.0,6275.0,3.8
造,10,6.0,305.0,11461.0,4.06
逢,10,3.0,219.0,388.0,2.59
连,7,7.0,219.0,11517.0,4.06
部,10,12.0,304.0,34796.0,4.54
都,10,3.0,277.0,180587.0,5.26
酗,11,11.0,305.0,494.0,2.69
野,11,4.0,262.0,4775.0,3.68
钓,8,5.0,305.0,1086.0,3.04
闭,6,25.0,306.0,10059.0,4.0
陪,10,5.0,219.0,7005.0,3.85
阴,6,7.0,278.0,3255.0,3.51
陈,7,8.0,218.0,1461.0,3.16
陵,10,19.0,220.0,128.0,2.11
陶,10,5.0,220.0,709.0,2.85
陷,10,12.0,306.0,3142.0,3.5
陆,7,13.0,305.0,2197.0,3.34
雀,11,5.0,305.0,400.0,2.6
雪,11,2.0,262.0,3731.0,3.57
顶,8,3.0,261.0,5080.0,3.71
顷,8,2.0,262.0,30.0,1.48
鱼,8,42.0,276.0,7224.0,3.86
鸟,5,2.0,260.0,3408.0,3.53
卤,7,6.0,261.0,35.0,1.54
鹿,11,13.0,305.0,814.0,2.91
麦,7,3.0,305.0,7500.0,3.88
麻,11,2.0,220.0,11963.0,4.08
傀,11,,,110.0,2.04
傍,12,7.0,305.0,132.0,2.12
杰,8,13.0,220.0,13140.0,4.12
伞,6,2.0,261.0,768.0,2.89
备,8,10.0,305.0,27669.0,4.44
凯,8,4.0,260.0,7371.0,3.87
剩,12,5.0,306.0,5308.0,3.72
割,12,8.0,278.0,1534.0,3.19
创,6,1.0,306.0,4667.0,3.67
勋,9,5.0,277.0,725.0,2.86
胜,9,5.0,306.0,6512.0,3.81
劳,7,5.0,220.0,4575.0,3.66
博,12,15.0,220.0,9033.0,3.96
唾,11,2.0,306.0,251.0,2.4
啼,12,11.0,220.0,119.0,2.08
善,12,11.0,305.0,5091.0,3.71
喇,12,1.0,262.0,285.0,2.45
喉,12,3.0,219.0,950.0,2.98
喊,12,2.0,261.0,2156.0,3.33
喑,12,,,1.0,0.0
喘,12,2.0,262.0,842.0,2.93
唤,10,6.0,306.0,1371.0,3.14
喜,12,6.0,262.0,54432.0,4.74
喝,12,6.0,305.0,16744.0,4.22
喧,12,3.0,279.0,110.0,2.04
丧,8,2.0,275.0,2034.0,3.31
乔,6,6.0,220.0,6652.0,3.82
单,8,11.0,305.0,18894.0,4.28
喻,12,42.0,276.0,591.0,2.77
围,7,13.0,220.0,5906.0,3.77
堡,12,5.0,261.0,2722.0,3.43
堤,12,11.0,220.0,173.0,2.24
堪,12,3.0,277.0,1331.0,3.12
报,7,7.0,305.0,21904.0,4.34
场,6,3.0,262.0,34746.0,4.54
壶,10,10.0,220.0,383.0,2.58
奠,12,11.0,305.0,70.0,1.85
媒,12,13.0,219.0,1787.0,3.25
孱,12,7.0,218.0,16.0,1.2
富,12,16.0,306.0,4061.0,3.61
寒,12,5.0,219.0,620.0,2.79
寓,12,42.0,276.0,2876.0,3.46
尊,12,5.0,275.0,4525.0,3.66
寻,6,8.0,219.0,5832.0,3.77
就,12,11.0,305.0,313793.0,5.5
嵌,12,12.0,278.0,157.0,2.2
帽,12,5.0,305.0,2508.0,3.4
幅,12,17.0,220.0,1274.0,3.11
几,2,6.0,262.0,29152.0,4.46
厕,8,3.0,305.0,1856.0,3.27
厢,11,7.0,278.0,515.0,2.71
复,9,16.0,306.0,13041.0,4.12
循,12,8.0,219.0,667.0,2.82
悲,12,5.0,277.0,3867.0,3.59
闷,7,1.0,277.0,1183.0,3.07
惠,12,15.0,306.0,1040.0,3.02
恶,10,2.0,261.0,12445.0,4.09
惰,12,7.0,305.0,110.0,2.04
恼,9,3.0,261.0,1188.0,3.07
惶,12,11.0,219.0,172.0,2.24
惺,12,6.0,278.0,156.0,2.19
愉,12,42.0,276.0,2644.0,3.42
愕,12,14.0,305.0,9.0,0.95
惬,11,,,81.0,1.91
愣,12,2.0,304.0,100.0,2.0
慨,12,2.0,306.0,577.0,2.76
捶,11,6.0,218.0,49.0,1.69
掌,12,2.0,261.0,4370.0,3.64
掣,12,6.0,305.0,43.0,1.63
掰,12,1.0,278.0,158.0,2.2
拣,8,14.0,261.0,220.0,2.34
揉,12,3.0,218.0,157.0,2.2
描,11,3.0,220.0,2242.0,3.35
提,12,11.0,220.0,24028.0,4.38
插,12,5.0,277.0,2597.0,3.41
扬,6,7.0,220.0,1414.0,3.15
换,10,6.0,306.0,9989.0,4.0
握,12,7.0,305.0,3193.0,3.5
揣,12,1.0,260.0,113.0,2.05
揩,12,3.0,276.0,34.0,1.53
揪,12,3.0,277.0,185.0,2.27
揭,12,8.0,278.0,1706.0,3.23
挥,9,6.0,278.0,3793.0,3.58
援,12,15.0,220.0,2269.0,3.36
揶,11,,,13.0,1.11
摒,12,4.0,305.0,55.0,1.74
敞,12,3.0,262.0,619.0,2.79
敢,11,7.0,260.0,10588.0,4.02
散,12,1.0,305.0,4211.0,3.62
敦,12,4.0,277.0,1858.0,3.27
斑,12,8.0,277.0,657.0,2.82
斯,12,12.0,277.0,61882.0,4.79
普,12,5.0,262.0,8777.0,3.94
景,12,9.0,261.0,3764.0,3.58
晴,12,3.0,220.0,259.0,2.41
晶,12,14.0,277.0,811.0,2.91
智,12,22.0,306.0,4349.0,3.64
晾,12,5.0,305.0,97.0,1.99
暑,12,9.0,262.0,475.0,2.68
曾,12,5.0,276.0,11274.0,4.05
替,12,11.0,306.0,5759.0,3.76
最,12,3.0,304.0,75999.0,4.88
朝,12,3.0,277.0,3629.0,3.56
期,12,23.0,220.0,18143.0,4.26
棉,12,3.0,219.0,597.0,2.78
棋,12,23.0,220.0,665.0,2.82
棍,12,1.0,304.0,1366.0,3.14
棒,12,7.0,305.0,20010.0,4.3
棕,12,5.0,277.0,905.0,2.96
枣,8,5.0,261.0,25.0,1.4
棘,12,19.0,220.0,403.0,2.61
棚,12,9.0,220.0,531.0,2.73
栋,9,6.0,305.0,1093.0,3.04
森,12,1.0,275.0,6955.0,3.84
棱,12,1.0,220.0,76.0,1.88
栖,10,10.0,278.0,164.0,2.21
棺,12,7.0,277.0,610.0,2.79
椅,12,8.0,262.0,2116.0,3.33
植,12,12.0,220.0,1827.0,3.26
桠,10,,,1.0,0.0
欺,12,10.0,278.0,2114.0,3.33
钦,9,3.0,276.0,200.0,2.3
款,12,1.0,260.0,3486.0,3.54
殖,12,12.0,220.0,524.0,2.72
残,9,3.0,219.0,3409.0,3.53
毯,12,4.0,262.0,1172.0,3.07
氯,12,5.0,305.0,233.0,2.37
涣,10,6.0,306.0,15.0,1.18
减,11,14.0,261.0,2748.0,3.44
渠,11,1.0,221.0,229.0,2.36
渡,12,8.0,306.0,1089.0,3.04
渣,12,3.0,278.0,600.0,2.78
涡,10,4.0,277.0,149.0,2.17
测,9,5.0,303.0,6709.0,3.83
港,12,1.0,261.0,1244.0,3.09
渲,12,5.0,305.0,26.0,1.41
渴,12,2.0,262.0,1646.0,3.22
游,12,8.0,220.0,12371.0,4.09
渺,12,4.0,262.0,245.0,2.39
浑,9,2.0,219.0,826.0,2.92
凑,11,1.0,303.0,675.0,2.83
湍,12,1.0,277.0,31.0,1.49
湖,12,10.0,220.0,1671.0,3.22
涌,10,12.0,260.0,375.0,2.57
湮,12,,,42.0,1.62
汤,6,3.0,278.0,4519.0,3.66
滋,12,13.0,277.0,1188.0,3.07
焙,12,10.0,305.0,37.0,1.57
焚,12,2.0,220.0,302.0,2.48
无,4,9.0,220.0,50908.0,4.71
焦,12,14.0,277.0,1481.0,3.17
然,12,3.0,218.0,91514.0,4.96
煮,12,7.0,262.0,821.0,2.91
牌,12,3.0,219.0,5872.0,3.77
犀,12,24.0,278.0,175.0,2.24
猥,12,,,153.0,2.18
猩,12,6.0,278.0,685.0,2.84
猴,12,3.0,219.0,1320.0,3.12
犹,7,8.0,220.0,3086.0,3.49
琢,12,11.0,218.0,230.0,2.36
琥,12,3.0,262.0,44.0,1.64
琴,12,8.0,218.0,1955.0,3.29
琵,12,8.0,220.0,36.0,1.56
苏,7,3.0,277.0,4462.0,3.65
