,Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-log-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-log-C2,C&B-Subtitle-raw-W,C&B-Subtitle-log-W,HD-1,HD-2,Num-neighbor-1,Num-neighbor-2
155,刀,痕,刀痕,刀痕,2,11,4999,3.70,2316,3.36,3,0.48,1,1,277,219
156,刀,伤,刀傷,刀伤,2,13,4999,3.70,22147,4.35,64,1.81,1,4,277,277
157,刀,枪,刀槍,刀枪,2,14,4999,3.70,21732,4.34,12,1.08,1,2,277,278
158,刀,剑,刀劍,刀剑,2,15,4999,3.70,1538,3.19,6,0.78,1,19,277,305
159,刀,锋,刀鋒,刀锋,2,15,4999,3.70,838,2.92,110,2.04,1,9,277,277
160,刁,民,刁民,刁民,2,5,77,1.89,9468,3.98,2,0.30,6,4,277,218
161,刁,难,刁難,刁难,2,19,77,1.89,31433,4.50,39,1.59,6,5,277,217
162,刁,蛮,刁蠻,刁蛮,2,25,77,1.89,1188,3.07,,,6,4,277,219
163,刁,钻,刁鑽,刁钻,2,27,77,1.89,2373,3.38,9,0.95,6,1,277,275
164,力,求,力求,力求,2,7,44859,4.65,22773,4.36,29,1.46,23,9,306,219
165,力,度,力度,力度,2,9,44859,4.65,17384,4.24,88,1.94,23,8,306,306
166,力,气,力氣,力气,2,10,44859,4.65,28334,4.45,532,2.73,23,13,306,306
167,力,量,力量,力量,2,12,44859,4.65,12973,4.11,3150,3.50,23,5,306,305
168,力,学,力學,力学,2,16,44859,4.65,41964,4.62,9,0.95,23,1,306,220
169,力,战,力戰,力战,2,16,44859,4.65,18511,4.27,3,0.48,23,9,306,305
170,力,荐,力薦,力荐,2,17,44859,4.65,763,2.88,,,23,19,306,305
171,力,劝,力勸,力劝,2,20,44859,4.65,871,2.94,,,23,2,306,306
172,匕,首,匕首,匕首,2,9,131,2.12,12927,4.11,131,2.12,,3,,261
173,十,分,十分,十分,2,4,14731,4.17,48396,4.68,1900,3.28,10,6,220,306
174,十,字,十字,十字,2,6,14731,4.17,22743,4.36,152,2.18,10,5,220,305
175,十,成,十成,十成,2,6,14731,4.17,61348,4.79,,,10,11,220,220
176,十,足,十足,十足,2,7,14731,4.17,8917,3.95,388,2.59,10,4,220,219
177,十,岁,十歲,十岁,2,13,14731,4.17,12744,4.11,,,10,8,220,305
178,十,诫,十誡,十诫,2,14,14731,4.17,159,2.20,,,10,8,220,306
179,卜,卦,卜卦,卜卦,2,8,662,2.82,512,2.71,,,5,2,260,305
180,丈,夫,丈夫,丈夫,3,4,6238,3.80,23767,4.38,6115,3.79,8,8,305,278
181,三,思,三思,三思,3,9,26275,4.42,34855,4.54,2,0.30,2,12,277,277
182,上,山,上山,上山,3,3,236451,5.37,8779,3.94,74,1.87,4,12,305,277
183,上,升,上升,上升,3,4,236451,5.37,4362,3.64,446,2.65,4,6,305,278
184,上,午,上午,上午,3,4,236451,5.37,8167,3.91,595,2.77,4,8,305,262
185,上,天,上天,上天,3,4,236451,5.37,127053,5.10,131,2.12,4,2,305,277
186,上,心,上心,上心,3,4,236451,5.37,83418,4.92,35,1.54,4,9,305,276
187,上,手,上手,上手,3,4,236451,5.37,75608,4.88,59,1.77,4,3,305,261
188,上,方,上方,上方,3,4,236451,5.37,52743,4.72,161,2.21,4,4,305,278
189,上,去,上去,上去,3,5,236451,5.37,232346,5.37,1973,3.30,4,3,305,305
190,上,台,上台,上台,3,5,236451,5.37,13404,4.13,493,2.69,4,4,305,219
191,上,司,上司,上司,3,5,236451,5.37,15818,4.20,661,2.82,4,12,305,277
192,上,市,上市,上市,3,5,236451,5.37,10453,4.02,120,2.08,4,29,305,306
